Datetime,Tweet_ID,Content,Username,User_Location,Retweets,Likes
2021-10-25 09:42:00+00:00,1452571134751387648,@Mwihakiii @Wairimuwraps The #PataChanjoKe hashtag is always a great place to start.,RastaAdvocate,Kenya,0,1
2021-10-25 09:38:48+00:00,1452570329461796865,"We need to strengthen and strictly adhere to #COVID19 preventive measures such as #PhysicalDistancing, wearing masks, washing hands, getting vaccinated, staying in well-ventilated rooms, and avoiding crowds to stay safe. #AngamizaCorona #PataChanjoKe @MOH_Kenya @YEDNetworkKe https://t.co/0lmiIGBilO",Amref_Kenya,Kenya,3,6
2021-10-25 09:09:37+00:00,1452562986539827203,#PataChanjoKE 💉💪🏾 https://t.co/HVSYM8aiFI,dosima_org,still disgusted (Matt Hancock),0,0
2021-10-25 08:33:38+00:00,1452553930592899074,"That's one big load off my back...one last trip to the side effects city

Are you vaccinated?
#PataChanjoKE https://t.co/87OwffHk3e",marvin_chege10,"Nairobi, Kenya",0,4
2021-10-25 05:42:04+00:00,1452510754729562113,#PataChanjoKe 💉💪🏾☔ https://t.co/d02Z8aSYnz,dosima_org,still disgusted (Matt Hancock),3,5
2021-10-24 05:18:11+00:00,1452142353783926786,#PataChanjoKE 👇🏾💉💪🏾 https://t.co/PVBLnplkcp,covid_kenya,"Nairobi, Kenya",1,0
2021-10-23 20:31:51+00:00,1452009898041040900,#PataChanjoKE 👇🏾 https://t.co/4k3DySq2oD,covid_kenya,"Nairobi, Kenya",1,2
2021-10-23 18:15:15+00:00,1451975523115184130,#PataChanjoKe https://t.co/v2M9JsFGn3,wa_mutegi,"Nairobi, Kenya",0,1
2021-10-23 10:13:22+00:00,1451854252276649986,Seems my choice to delay my second dose is being validated. Am ready now for #PataChanjoKe 2nd shot. https://t.co/TldBUxrYQD,Asaphjay,East Africa ,0,0
2021-10-23 08:29:34+00:00,1451828129647972354,"COVID 19 VACCINATION UPDATE
Available Vaccines:
1. #Moderna Vaccine
2. #AstraZeneca Vaccine
Book your appointment via https://t.co/XupVMk8GLV

#patachanjoke https://t.co/Dg6agw0GmD",thenairobihosp,"Nairobi, Kenya",14,13
2021-10-23 05:24:31+00:00,1451781560391376898,#PataChanjoKe https://t.co/iQ3iinORk8,_ngwata, 🇰🇪,13,1
2021-10-22 19:35:29+00:00,1451633326473809924,@murayabrian @BaronGreen_Back Check the hashtag #PataChanjoKe,PeterNyabuto,,0,1
2021-10-21 06:07:46+00:00,1451067668031807489,"as you recover from #MashujaaDay celebrations, do remember that - even though the hated lockdown is over, COVID is not
 
#PataChanjoKe
+ stay masked
+ stay distanced
+ stay safe https://t.co/1vA9bsvehe",dosima_org,still disgusted (Matt Hancock),1,1
2021-10-21 05:19:07+00:00,1451055425059758085,#PataChanjoKE 👇🏾 https://t.co/9jslpMKrhb,dosima_org,still disgusted (Matt Hancock),0,1
2021-10-20 11:51:08+00:00,1450791693251403778,#PataChanjoKe https://t.co/ifjS8vsnyU,jumafaulu,Behind the scenes,0,1
2021-10-20 09:06:24+00:00,1450750234624241665,#PataChanjoKe https://t.co/XtX6e5NWl6,jumafaulu,Behind the scenes,0,2
2021-10-20 07:26:10+00:00,1450725012911136768,@covid_kenya @gathara @Onjerika @sic_tangent @CKyobutungi @BakeKenya @EstherKazungu @drthuranira @BarazaLab @GSNAfrica @mougendi #PataChanjoKe,worth8797,,0,1
2021-10-20 07:18:29+00:00,1450723075918606339,#PataChanjoKe Get your moderna second dose and astrazeneca first and second dose at Kahawa Sukari Shopping Center,worth8797,,0,0
2021-10-20 06:40:35+00:00,1450713539338022912,Where can I get AZ second dose in either Kiambu or Githunguri #PataChanjoKe cc @covid_kenya @_ngwata,jumafaulu,Behind the scenes,0,0
2021-10-20 05:35:14+00:00,1450697094906486786,#PataChanjoKe https://t.co/zYIhffY5CG,KRabera,Nairobi,0,2
2021-10-20 04:48:47+00:00,1450685403380469763,@covid_kenya @gathara @sic_tangent @CKyobutungi @BakeKenya @EstherKazungu @drthuranira @BarazaLab @GSNAfrica @mougendi #PataChanjoKe Amkeni Wakenya. Time to become a shujaa. https://t.co/EHWgQEjQEv,Onjerika,nairobi,13,8
2021-10-19 18:58:59+00:00,1450536976822714372,"COVID 19 VACCINATION UPDATE
Available Vaccines:
1. #Moderna Vaccine
2. #Pfizer Vaccine
3. #AstraZeneca Vaccine

Book your appointment via https://t.co/XupVMk8GLV
 
#PataChanjoKe https://t.co/ZoISrc2f1v",thenairobihosp,"Nairobi, Kenya",1,7
